classe,art_cosia_1_titre,art_cosia_1_url,art_cosia_2_titre,art_cosia_2_url,art_cosia_3_titre,art_cosia_3_url,art_ctx_1_titre,art_ctx_1_url,art_ctx_2_titre,art_ctx_2_url,art_ctx_3_titre,art_ctx_3_url,art_ctx_4_titre,art_ctx_4_url,art_ctx_5_titre,art_ctx_5_url,art_ctx_6_titre,art_ctx_6_url,resume
Broussaille,"Dans les forêts landaises, les coupes rases ont toujours la cote",https://www.lemonde.fr/planete/article/2022/03/17/dans-les-forets-landaises-les-coupes-rases-ont-toujours-la-cote_6117825_3244.html,Reconvertir des friches (1/4) : enjeux et mode d'emploi,https://www.actu-environnement.com/ae/news/enjeux-et-mode-emploi-reconversion-des-friches-46774.php4,"Un feu sur deux est la conséquence d’une imprudence, l’appel à la vigilance du parc des Baronnies",https://www.ledauphine.com/environnement/2021/08/18/un-feu-sur-deux-est-la-consequence-d-une-imprudence-l-appel-a-la-vigilance-du-parc-des-baronnies,"Savoir évaluer les incidences des projets sur les sites Natura 2000, un vade-mecum de la théorie à la pratique",https://www.cerema.fr/fr/actualites/savoir-evaluer-incidences-projets-sites-natura-2000-vade,Espaces naturels sensibles des Aravis : 14 000 ha sur 3 sites,https://www.ledauphine.com/environnement/2021/04/09/espaces-naturels-sensibles-14-000-ha-sur-3-sites,"Les étangs de Crosagny, un site classé Natura 2000",https://www.ledauphine.com/environnement/2021/08/02/les-etangs-de-crosagny-un-site-classe-natura-2000,Des actions autour de l’Atlas de la biodiversité communale,https://www.ledauphine.com/environnement/2022/02/13/des-actions-autour-de-l-atlas-de-la-biodiversite-communale,Un guide pratique pour gérer la fréquentation touristique dans les espaces naturels,https://www.actu-environnement.com/ae/news/guide-parcs-naturels-regionaux-gerer-tourisme-collectivites-44506.php4,"Protection de la biodiversité, le rôle des parcs nationaux",https://www.cerema.fr/fr/actualites/protection-biodiversite-role-parcs-nationaux,"Dans le contexte du SCoT Drôme-Ardèche-Vaucluse, une parcelle de type 'Broussaille' est une zone de 7 hectares recouverte de joncs, bruyères, vieilles branches et jeunes plants, située dans des régions où les forêts ont été dévastées par les coupes rases. Cela se produit dans un contexte de rareté du foncier et de lutte contre l'artificialisation de sols, où la réhabilitation de tels terrains est un enjeu important. Ces zones peuvent également être considérées comme des friches, et leur réhabilitation peut accéder à un gisement de parcelle agricole ou forestière. Cependant, il est important de prendre en compte les incidences des projets sur les sites Natura 2000, qui sont des zones protégées visant à préserver des milieux naturels et des espèces rares à l'échelle de l'Union européenne. Les zones naturelles sensibles doivent également être prises en considération lors de l'aménagement du territoire."
Bâtiment,Aménager avec l’existant - retour sur les 2èmes rencontres ligériennes des acteurs de l'aménagement,https://www.cerema.fr/fr/actualites/amenager-existant-retour-2emes-rencontres-ligeriennes,Bonneville : le maire Stéphane Valli fait le point sur l’urbanisation de la commune,https://www.ledauphine.com/economie/2021/04/07/bonneville-le-maire-stephane-valli-fait-le-point-sur-l-urbanisation-de-la-commune,Une expertise du Cerema sur les stratégies foncières en faveur du logement et des activités (artisanat et industrie) : Regards croisés des acteurs locaux chargés de leur mise en oeuvre,https://www.cerema.fr/fr/actualites/expertise-du-cerema-strategies-foncieres-faveur-du-logement,"Savoir évaluer les incidences des projets sur les sites Natura 2000, un vade-mecum de la théorie à la pratique",https://www.cerema.fr/fr/actualites/savoir-evaluer-incidences-projets-sites-natura-2000-vade,Espaces naturels sensibles des Aravis : 14 000 ha sur 3 sites,https://www.ledauphine.com/environnement/2021/04/09/espaces-naturels-sensibles-14-000-ha-sur-3-sites,"Les étangs de Crosagny, un site classé Natura 2000",https://www.ledauphine.com/environnement/2021/08/02/les-etangs-de-crosagny-un-site-classe-natura-2000,Des actions autour de l’Atlas de la biodiversité communale,https://www.ledauphine.com/environnement/2022/02/13/des-actions-autour-de-l-atlas-de-la-biodiversite-communale,Un guide pratique pour gérer la fréquentation touristique dans les espaces naturels,https://www.actu-environnement.com/ae/news/guide-parcs-naturels-regionaux-gerer-tourisme-collectivites-44506.php4,"Protection de la biodiversité, le rôle des parcs nationaux",https://www.cerema.fr/fr/actualites/protection-biodiversite-role-parcs-nationaux,"Le contexte territorial pour une parcelle de type 'Bâtiment' est marqué par une croissance immobilière dans les communes, avec des projets en cours de construction. Cependant, il est important de prendre en compte la protection des milieux naturels, comme le réseau Natura 2000, lors de l'aménagement du territoire. Les acteurs de l'aménagement, tels que les élus, techniciens, aménageurs et promoteurs, doivent collaborer pour trouver des stratégies foncières en faveur du logement et des activités, tout en respectant les sites naturels sensibles. Les projets immobiliers doivent également être évalués en fonction de leur impact sur les sites Natura 2000."
Conifère,Le ministère de l'Agriculture s'engage à mieux prévenir et réutiliser le bois scolyté,https://www.actu-environnement.com/ae/news/ministere-agriculture-bois-scolytes-43885.php4,Le renouvellement forestier serait compromis par la surdensité des ongulés,https://www.actu-environnement.com/ae/news/renouvellement-forestier-compormis-concentration-ongules-rapport-onf-igedd-cgaaer-46855.php4,Comment les 310 ha de forêt de la commune sont-ils gérés ?,https://www.ledauphine.com/environnement/2021/08/12/isere-quaix-en-chartreuse-comment-les-310-ha-de-foret-de-la-commune-sont-ils-geres,"Savoir évaluer les incidences des projets sur les sites Natura 2000, un vade-mecum de la théorie à la pratique",https://www.cerema.fr/fr/actualites/savoir-evaluer-incidences-projets-sites-natura-2000-vade,Espaces naturels sensibles des Aravis : 14 000 ha sur 3 sites,https://www.ledauphine.com/environnement/2021/04/09/espaces-naturels-sensibles-14-000-ha-sur-3-sites,"Les étangs de Crosagny, un site classé Natura 2000",https://www.ledauphine.com/environnement/2021/08/02/les-etangs-de-crosagny-un-site-classe-natura-2000,Des actions autour de l’Atlas de la biodiversité communale,https://www.ledauphine.com/environnement/2022/02/13/des-actions-autour-de-l-atlas-de-la-biodiversite-communale,Un guide pratique pour gérer la fréquentation touristique dans les espaces naturels,https://www.actu-environnement.com/ae/news/guide-parcs-naturels-regionaux-gerer-tourisme-collectivites-44506.php4,"Protection de la biodiversité, le rôle des parcs nationaux",https://www.cerema.fr/fr/actualites/protection-biodiversite-role-parcs-nationaux,"Le contexte territorial pour une parcelle de type 'Conifère' dans le SCoT Drôme-Ardèche-Vaucluse est marqué par des sécheresses répétitives qui entraînent la mort de pins et favorisent le développement de scolytes, des coléoptères ravageurs. Le renouvellement forestier est compromis par la surdensité des ongulés sauvages. La forêt est gérée pour produire du bois de chauffage et le réseau écologique Natura 2000 est mis en place pour préserver des milieux naturels sensibles. Les étangs de Crosagny, un site Natura 2000, sont des espaces naturels magnifiques à découvrir."
Culture,"[A relire] Face aux difficultés, l'agriculture biologique plie mais ne rompt pas",https://www.actu-environnement.com/ae/news/agence-bio-chiffres-marche-bio-2021-40110.php4,Territoires bios pilotes : quand les collectivités s'emparent de la question agricole,https://www.actu-environnement.com/ae/news/agriculture-bio-territoires-engagement-charte-eau-preservation-ressource-PAT-installation-conversion-40744.php4,"Le sorgho, culture d’avenir pour la France en plein dérèglement climatique",https://www.lemonde.fr/planete/article/2022/10/24/le-sorgho-culture-d-avenir-face-au-rechauffement-climatique_6147042_3244.html,"Savoir évaluer les incidences des projets sur les sites Natura 2000, un vade-mecum de la théorie à la pratique",https://www.cerema.fr/fr/actualites/savoir-evaluer-incidences-projets-sites-natura-2000-vade,Espaces naturels sensibles des Aravis : 14 000 ha sur 3 sites,https://www.ledauphine.com/environnement/2021/04/09/espaces-naturels-sensibles-14-000-ha-sur-3-sites,"Les étangs de Crosagny, un site classé Natura 2000",https://www.ledauphine.com/environnement/2021/08/02/les-etangs-de-crosagny-un-site-classe-natura-2000,Des actions autour de l’Atlas de la biodiversité communale,https://www.ledauphine.com/environnement/2022/02/13/des-actions-autour-de-l-atlas-de-la-biodiversite-communale,Un guide pratique pour gérer la fréquentation touristique dans les espaces naturels,https://www.actu-environnement.com/ae/news/guide-parcs-naturels-regionaux-gerer-tourisme-collectivites-44506.php4,"Protection de la biodiversité, le rôle des parcs nationaux",https://www.cerema.fr/fr/actualites/protection-biodiversite-role-parcs-nationaux,"Le contexte territorial pour une parcelle de type 'Culture' se situe dans un contexte de développement durable et de préservation de l'environnement. Les collectivités locales encouragent la culture biologique, qui se développe en France malgré les difficultés rencontrées, comme la baisse de la consommation de ses produits. En parallèle, des cultures plus résistantes au dérèglement climatique sont encouragées, comme le sorgho. Le réseau Natura 2000, composé de sites visant à préserver des milieux naturels, est mis en place pour protéger des espaces naturels sensibles, comme les étangs de Crosagny. Les politiques en faveur de l'environnement sont complémentaires et visent à préserver la biodiversité et les paysages ruraux."
Feuillu,Le règlement relatif à la déforestation et à la dégradation des forêts à l'aube d'une remise en cause ?,https://www.actu-environnement.com/ae/news/reglement-ue-union-europeenne-deforestation-degradation-forets-44401.php4,"Plantations d’arbres, géo-ingénierie, biocarburants… ces fausses bonnes idées pour le climat qui mettent en danger la biodiversité",https://vert.eco/articles/plantations-darbres-geo-ingenierie-biocarburants-ces-fausses-bonnes-idees-pour-le-climat-qui-mettent-en-danger-la-biodiversite,La restauration écologique passe aussi par les écosystèmes herbacés,https://www.actu-environnement.com/ae/news/restauration-ecologique-ecosystemes-herbaces-biodiversite-stockage-carbone-40195.php4,"Savoir évaluer les incidences des projets sur les sites Natura 2000, un vade-mecum de la théorie à la pratique",https://www.cerema.fr/fr/actualites/savoir-evaluer-incidences-projets-sites-natura-2000-vade,Espaces naturels sensibles des Aravis : 14 000 ha sur 3 sites,https://www.ledauphine.com/environnement/2021/04/09/espaces-naturels-sensibles-14-000-ha-sur-3-sites,"Les étangs de Crosagny, un site classé Natura 2000",https://www.ledauphine.com/environnement/2021/08/02/les-etangs-de-crosagny-un-site-classe-natura-2000,Des actions autour de l’Atlas de la biodiversité communale,https://www.ledauphine.com/environnement/2022/02/13/des-actions-autour-de-l-atlas-de-la-biodiversite-communale,Un guide pratique pour gérer la fréquentation touristique dans les espaces naturels,https://www.actu-environnement.com/ae/news/guide-parcs-naturels-regionaux-gerer-tourisme-collectivites-44506.php4,"Protection de la biodiversité, le rôle des parcs nationaux",https://www.cerema.fr/fr/actualites/protection-biodiversite-role-parcs-nationaux,"Le contexte territorial pour une parcelle de type 'Feuillu' se situe dans un contexte de préservation et de restauration des écosystèmes forestiers, en lien avec le réseau écologique européen Natura 2000. En raison de la déforestation et de la dégradation des forêts, il est important de mettre en place des mesures pour préserver les forêts, notamment en évitant les pratiques telles que la plantation d'arbres, la géo-ingénierie et la production de biocarburants. Les écosystèmes herbacés sont également considérés comme importants à restaurer. Les sites naturels sensibles des Aravis, y compris les étangs de Crosagny, sont également protégés en tant que sites Natura 2000."
Neige,Le réchauffement climatique menace la quasi-totalité des stations de ski européennes,https://www.lemonde.fr/planete/article/2023/08/28/la-quasi-totalite-des-stations-de-ski-europeennes-menacees-par-le-rechauffement-climatique_6186865_3244.html,"Dans le Vercors et dans les Bauges, les stations pensent déjà à « l’après ski »",https://www.lemonde.fr/planete/article/2019/12/31/dans-le-vercors-et-dans-les-bauges-les-stations-pensent-deja-a-l-apres-ski_6024474_3244.html,Pourra-t-on encore skier en Europe dans un monde à +2 °C ?,https://vert.eco/articles/pourra-t-on-encore-skier-en-europe-dans-un-monde-a-2-c,"Savoir évaluer les incidences des projets sur les sites Natura 2000, un vade-mecum de la théorie à la pratique",https://www.cerema.fr/fr/actualites/savoir-evaluer-incidences-projets-sites-natura-2000-vade,Espaces naturels sensibles des Aravis : 14 000 ha sur 3 sites,https://www.ledauphine.com/environnement/2021/04/09/espaces-naturels-sensibles-14-000-ha-sur-3-sites,"Les étangs de Crosagny, un site classé Natura 2000",https://www.ledauphine.com/environnement/2021/08/02/les-etangs-de-crosagny-un-site-classe-natura-2000,Des actions autour de l’Atlas de la biodiversité communale,https://www.ledauphine.com/environnement/2022/02/13/des-actions-autour-de-l-atlas-de-la-biodiversite-communale,Un guide pratique pour gérer la fréquentation touristique dans les espaces naturels,https://www.actu-environnement.com/ae/news/guide-parcs-naturels-regionaux-gerer-tourisme-collectivites-44506.php4,"Protection de la biodiversité, le rôle des parcs nationaux",https://www.cerema.fr/fr/actualites/protection-biodiversite-role-parcs-nationaux,"Le contexte territorial pour une parcelle de type 'Neige' est marqué par le réchauffement climatique, qui menace la survie des stations de ski en Europe, notamment celles de moyenne montagne. Les stations doivent réfléchir à leur adaptation à un tourisme « quatre saisons » ou à renforcer les investissements en neige de culture. En parallèle, il est important de prendre en compte les sites Natura 2000, qui protègent des milieux naturels sensibles, comme les étangs de Crosagny, un exemple de site classé Natura 2000. La CCVT a également engagé une politique Espaces naturels sensibles (ENS), visant à protéger des zones naturelles."
Pelouse,La restauration écologique passe aussi par les écosystèmes herbacés,https://www.actu-environnement.com/ae/news/restauration-ecologique-ecosystemes-herbaces-biodiversite-stockage-carbone-40195.php4,"Fertilisation des prairies : au-delà d'un certain seuil, la biodiversité se perd",https://www.actu-environnement.com/ae/news/etude-inrae-cnrs-fertilisation-prairies-services-ecosystemiques-46288.php4,"A la ferme du Bec-Hellouin, la permaculture dopée aux savoirs d’antan",https://www.lemonde.fr/planete/article/2023/11/14/a-la-ferme-du-bec-hellouin-la-permaculture-dopee-aux-savoirs-d-antan_6199991_3244.html,"Savoir évaluer les incidences des projets sur les sites Natura 2000, un vade-mecum de la théorie à la pratique",https://www.cerema.fr/fr/actualites/savoir-evaluer-incidences-projets-sites-natura-2000-vade,Espaces naturels sensibles des Aravis : 14 000 ha sur 3 sites,https://www.ledauphine.com/environnement/2021/04/09/espaces-naturels-sensibles-14-000-ha-sur-3-sites,"Les étangs de Crosagny, un site classé Natura 2000",https://www.ledauphine.com/environnement/2021/08/02/les-etangs-de-crosagny-un-site-classe-natura-2000,Des actions autour de l’Atlas de la biodiversité communale,https://www.ledauphine.com/environnement/2022/02/13/des-actions-autour-de-l-atlas-de-la-biodiversite-communale,Un guide pratique pour gérer la fréquentation touristique dans les espaces naturels,https://www.actu-environnement.com/ae/news/guide-parcs-naturels-regionaux-gerer-tourisme-collectivites-44506.php4,"Protection de la biodiversité, le rôle des parcs nationaux",https://www.cerema.fr/fr/actualites/protection-biodiversite-role-parcs-nationaux,"Le contexte territorial pour une parcelle de type 'Pelouse' est marqué par l'importance de la restauration écologique des écosystèmes herbacés, qui ne doivent pas être négligés par rapport aux écosystèmes forestiers. La fertilisation excessive des prairies peut entraîner la perte de la biodiversité et des services écosystémiques tels que la séquestration du carbone, le filtrage de l'eau et la pâturage. La permaculture, qui combine des connaissances traditionnelles et des pratiques modernes, peut être appliquée pour restaurer et maintenir la biodiversité des prairies. Les sites Natura 2000, tels que les étangs de Crosagny, doivent être protégés pour préserver leur flore et leur faune typiques."
